items,@timestamp,serialnumber,type
pt01-c3750x-DC.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO23140HG9,Serial_int
IN46-c4510-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1652P1WC,Serial_int
IN46-a7010,2020-12-12 14:30:13.203156,FDO1721Z2V8,Serial_int
pt02-c4506-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FCW2349A1M1,Serial_int
kr02-fw01,2020-12-12 14:30:13.203156,FGL2402L7X3,Serial_int
fr65-c3560x-DC.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2302Q4A9,Serial_int
fr65-c3650-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2245F0RR,Serial_int
fr65-c3650-3.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2245F0TH,Serial_int
fr65-a7010,2020-12-12 14:30:13.203156,FDO2245F0SM,Serial_int
fr65-c3560x-mfg.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2245F0U1,Serial_int
fr65-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2245F0TL,Serial_int
fr65-n5648-1b.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2314F1E9,Serial_int
tw04-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1617Z440,Serial_int
fi03-c3560-int,2020-12-12 14:30:13.203156,SSI154602C5,Serial_int
cn34-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2010Q03Q,Serial_int
cn34-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC23287SRE,Serial_int
cn34-c4510-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FCW2036D1SB,Serial_int
cn30-fw01,2020-12-12 14:30:13.203156,FGL2421LU3J,Serial_int
tw01-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2411Q32K,Serial_int
tw01-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FGL2421LJJF,Serial_int
fr65-fw01,2020-12-12 14:30:13.203156,FGL2421LRQD,Serial_int
fr65-fw02,2020-12-12 14:30:13.203156,FGL2421LJJM,Serial_int
fr65-c3850-peli-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC2409S0TQ,Serial_int
cn63-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1551Z12C,Serial_int
mo90-vpn-router-1,2020-12-12 14:30:13.203156,FOC1042Z1PS,Serial_int
in19-pan-1,2020-12-12 14:30:13.203156,FOX1352G283,Serial_int
in19-pan-2,2020-12-12 14:30:13.203156,FJB2432E00M,Serial_int
cn30-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FJB2428E01D,Serial_int
it01-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2204V1G2,Serial_int
ie02-c4510-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS1736Q3NR,Serial_int
de04-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FTX1811AL2H,Serial_int
gb01-mpls-router,2020-12-12 14:30:13.203156,FLM2103Y03A,Serial_int
se80-mpls-router,2020-12-12 14:30:13.203156,FLM2204W092,Serial_int
de06-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2204W090,Serial_int
ie02-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2030W19K,Serial_int
fr42-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2204W096,Serial_int
gb50-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2204W098,Serial_int
it01-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2204W091,Serial_int
de06-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2204V1G1,Serial_int
de06-c2960s-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1749W00P,Serial_int
de06-c2960s-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1749V04K,Serial_int
pt02-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC2202D1PJ,Serial_int
pt02-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC2202D1JX,Serial_int
pt01-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC2049D0Z8,Serial_int
pt01-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC1948D027,Serial_int
pt01-c4900m-2.internal.synopsys.com,2020-12-12 14:30:13.203156,JAE14350219,Serial_int
pt01-c3750x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1434K05S,Serial_int
pt01-c4900m-01,2020-12-12 14:30:13.203156,JAE1435003Z,Serial_int
pl01-c3750x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1442K1F1,Serial_int
mdc-c3750x-dmz-01.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1442R05G,Serial_int
de02-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FTX1443AHCD,Serial_int
am04-c3560x-1a,2020-12-12 14:30:13.203156,FDO1525P1XV,Serial_int
am04-c4510-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX1509H412,Serial_int
am04-c4510-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX1509H44J,Serial_int
am04-c4510-3.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX1509H44K,Serial_int
am04-c3560x-1b.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1525V0SD,Serial_int
am04-c3560x-1c.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1219W470,Serial_int
am04-c3560x-2a.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1525Z0FD,Serial_int
am04-c3560x-2b.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1525V0S4,Serial_int
am04-c3560x-2c.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1320Z4Q9,Serial_int
am04-c3560x-3a.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1525Z0F9,Serial_int
am04-c3560x-3b.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1525V0R5,Serial_int
